Date/Time,Lat,Lon,Base
09/01/2014 00:01,53.34902,-6.26005,B02512
09/01/2014 00:01,53.34877,-6.26674,B02512
09/01/2014 00:03,53.34662,-6.25982,B02512
09/01/2014 00:06,53.34337,-6.25898,B02512
09/01/2014 00:11,53.35054,-6.25528,B02512
09/01/2014 00:12,53.3469,-6.25872,B02512
09/01/2014 00:15,53.34144,-6.25825,B02512
09/01/2014 00:16,53.34424,-6.26116,B02512
09/01/2014 00:32,53.35012,-6.2577,B02512
09/01/2014 00:33,53.35231721,-6.261675274,B02512
09/01/2014 00:33,53.34352,-6.25912,B02512
09/01/2014 00:37,53.34643223,-6.258466539,B02512
09/01/2014 00:38,53.34633976,-6.258248913,B02512
09/01/2014 00:39,53.3462473,-6.258031286,B02512
09/01/2014 00:48,53.34615483,-6.25781366,B02512
09/01/2014 00:48,53.34606237,-6.257596034,B02512
09/01/2014 00:49,53.3459699,-6.257378407,B02512
09/01/2014 01:08,53.34587744,-6.257160781,B02512
09/01/2014 01:17,53.34578497,-6.256943154,B02512
09/01/2014 01:19,53.34569251,-6.256725528,B02512
09/01/2014 01:39,53.34560004,-6.256507902,B02512
09/01/2014 01:41,53.34550758,-6.256290275,B02512
09/01/2014 02:03,53.34541511,-6.256072649,B02512
09/01/2014 02:13,53.34532265,-6.255855022,B02512
09/01/2014 02:33,53.34523018,-6.255637396,B02512
09/01/2014 02:39,53.34513772,-6.25541977,B02512
09/01/2014 02:41,53.34504525,-6.255202143,B02512
09/01/2014 03:18,53.34495279,-6.254984517,B02512
09/01/2014 04:01,53.34486032,-6.25476689,B02512
09/01/2014 04:06,53.34476786,-6.254549264,B02512
09/01/2014 04:20,53.34467539,-6.254331638,B02512
09/01/2014 04:34,53.34458293,-6.254114011,B02512
09/01/2014 05:02,53.34449046,-6.253896385,B02512
09/01/2014 05:11,53.344398,-6.253678758,B02512
09/01/2014 05:12,53.34430553,-6.253461132,B02512
09/01/2014 05:16,53.34421307,-6.253243506,B02512
09/01/2014 05:25,53.3441206,-6.253025879,B02512
09/01/2014 05:29,53.34402814,-6.252808253,B02512
09/01/2014 05:45,53.34393567,-6.252590626,B02512
09/01/2014 05:55,53.34384321,-6.252373,B02512
09/01/2014 05:56,53.34375074,-6.252155374,B02512
09/01/2014 06:04,53.34365828,-6.251937747,B02512
09/01/2014 06:08,53.34356581,-6.251720121,B02512
09/01/2014 06:14,53.34347335,-6.251502494,B02512
09/01/2014 06:26,53.34338088,-6.251284868,B02512
09/01/2014 06:35,53.34328842,-6.251067242,B02512
09/01/2014 06:43,53.34319595,-6.250849615,B02512
09/01/2014 06:51,53.34310349,-6.250631989,B02512
09/01/2014 06:56,53.34301102,-6.250414362,B02512
09/01/2014 07:01,53.34291856,-6.250196736,B02512
09/01/2014 07:22,53.34282609,-6.24997911,B02512
09/01/2014 07:30,53.34273362,-6.249761483,B02512
09/01/2014 07:33,53.34264116,-6.249543857,B02512
09/01/2014 07:37,53.34254869,-6.24932623,B02512
09/01/2014 07:37,53.34245623,-6.249108604,B02512
09/01/2014 07:41,53.34236376,-6.248890978,B02512
09/01/2014 07:58,53.3422713,-6.248673351,B02512
09/01/2014 08:05,53.34217883,-6.248455725,B02512
09/01/2014 08:11,53.34208637,-6.248238098,B02512
09/01/2014 08:13,53.3419939,-6.248020472,B02512
09/01/2014 08:19,53.34190144,-6.247802846,B02512
09/01/2014 08:21,53.34180897,-6.247585219,B02512
09/01/2014 08:25,53.34171651,-6.247367593,B02512
09/01/2014 08:30,53.34162404,-6.247149966,B02512
09/01/2014 08:30,53.34153158,-6.24693234,B02512
09/01/2014 08:34,53.34143911,-6.246714714,B02512
09/01/2014 08:37,53.34134665,-6.246497087,B02512
09/01/2014 08:40,53.34125418,-6.246279461,B02512
09/01/2014 08:44,53.34116172,-6.246061834,B02512
09/01/2014 08:45,53.34106925,-6.245844208,B02512
09/01/2014 08:53,53.34097679,-6.245626582,B02512
09/01/2014 08:53,53.34088432,-6.245408955,B02512
09/01/2014 08:57,53.34079186,-6.245191329,B02512
09/01/2014 08:57,53.34069939,-6.244973702,B02512
09/01/2014 08:57,53.34060693,-6.244756076,B02512
09/01/2014 08:59,53.34051446,-6.24453845,B02512
09/01/2014 08:59,53.340422,-6.244320823,B02512
09/01/2014 09:04,53.34032953,-6.244103197,B02512
09/01/2014 09:04,53.34023707,-6.24388557,B02512
09/01/2014 09:05,53.3401446,-6.243667944,B02512
09/01/2014 09:05,53.34005214,-6.243450318,B02512
09/01/2014 09:10,53.33995967,-6.243232691,B02512
09/01/2014 09:10,53.33986721,-6.243015065,B02512
09/01/2014 09:12,53.33977474,-6.242797438,B02512
09/01/2014 09:13,53.33968228,-6.242579812,B02512
09/01/2014 09:14,53.33958981,-6.242362186,B02512
09/01/2014 09:15,53.33949735,-6.242144559,B02512
09/01/2014 09:16,53.33940488,-6.241926933,B02512
09/01/2014 09:17,53.33931242,-6.241709306,B02512
09/01/2014 09:21,53.33921995,-6.24149168,B02512
09/01/2014 09:22,53.33912749,-6.241274054,B02512
09/01/2014 09:23,53.33903502,-6.241056427,B02512
09/01/2014 09:23,53.33894256,-6.240838801,B02512
09/01/2014 09:30,53.33885009,-6.240621174,B02512
09/01/2014 09:34,53.33875763,-6.240403548,B02512
09/01/2014 09:40,53.33866516,-6.240185922,B02512
09/01/2014 09:40,53.3385727,-6.239968295,B02512
09/01/2014 09:42,53.33848023,-6.239750669,B02512
09/01/2014 09:42,53.33838777,-6.239533042,B02512
09/01/2014 09:43,53.3382953,-6.239315416,B02512
09/01/2014 09:43,53.33820284,-6.23909779,B02512
09/01/2014 09:44,53.33811037,-6.238880163,B02512
09/01/2014 09:51,53.33801791,-6.238662537,B02512
09/01/2014 09:54,53.33792544,-6.23844491,B02512
09/01/2014 09:56,53.33783298,-6.238227284,B02512
09/01/2014 09:58,53.33774051,-6.238009658,B02512
09/01/2014 09:58,53.33764804,-6.237792031,B02512
09/01/2014 10:02,53.33755558,-6.237574405,B02512
09/01/2014 10:02,53.33746311,-6.237356778,B02512
09/01/2014 10:02,53.33737065,-6.237139152,B02512
09/01/2014 10:08,53.33727818,-6.236921526,B02512
09/01/2014 10:09,53.33718572,-6.236703899,B02512
09/01/2014 10:10,53.33709325,-6.236486273,B02512
09/01/2014 10:10,53.33700079,-6.236268646,B02512
09/01/2014 10:12,53.33690832,-6.23605102,B02512
09/01/2014 10:13,53.33681586,-6.235833394,B02512
09/01/2014 10:14,53.33672339,-6.235615767,B02512
09/01/2014 10:14,53.33663093,-6.235398141,B02512
09/01/2014 10:17,53.33653846,-6.235180514,B02512
09/01/2014 10:17,53.336446,-6.234962888,B02512
09/01/2014 10:23,53.33635353,-6.234745262,B02512
09/01/2014 10:24,53.33626107,-6.234527635,B02512
09/01/2014 10:26,53.3361686,-6.234310009,B02512
09/01/2014 10:28,53.33607614,-6.234092382,B02512
09/01/2014 10:34,53.33598367,-6.233874756,B02512
09/01/2014 10:35,53.33589121,-6.23365713,B02512
09/01/2014 10:37,53.33579874,-6.233439503,B02512
09/01/2014 10:38,53.33570628,-6.233221877,B02512
09/01/2014 10:39,53.33561381,-6.23300425,B02512
09/01/2014 10:40,53.33552135,-6.232786624,B02512
09/01/2014 10:42,53.33542888,-6.232568998,B02512
09/01/2014 10:42,53.33533642,-6.232351371,B02512
09/01/2014 10:51,53.33524395,-6.232133745,B02512
09/01/2014 10:52,53.33515149,-6.231916118,B02512
09/01/2014 10:53,53.33505902,-6.231698492,B02512
09/01/2014 10:56,53.33496656,-6.231480866,B02512
09/01/2014 10:57,53.33487409,-6.231263239,B02512
09/01/2014 10:58,53.33478163,-6.231045613,B02512
09/01/2014 11:01,53.33468916,-6.230827986,B02512
09/01/2014 11:02,53.3345967,-6.23061036,B02512
09/01/2014 11:02,53.33450423,-6.230392734,B02512
09/01/2014 11:05,53.33441177,-6.230175107,B02512
