Date/Time,Lat,Lon,Footfall
09/01/2014 00:01,53.34902,-6.26005,1914
09/01/2014 00:01,53.34877,-6.26674,1914
09/01/2014 00:03,53.34662,-6.25982,1914
09/01/2014 00:06,53.34337,-6.25898,1914
09/01/2014 00:11,53.35054,-6.25528,885
09/01/2014 00:12,53.3469,-6.25872,885
09/01/2014 00:15,53.34144,-6.25825,885
09/01/2014 00:16,53.34424,-6.26116,885
09/01/2014 00:32,53.35012,-6.2577,984
09/01/2014 00:33,53.35231721,-6.261675274,984
09/01/2014 00:33,53.34352,-6.25912,984
09/01/2014 00:37,53.34643223,-6.258466539,984
09/01/2014 00:38,53.34633976,-6.258248913,935
09/01/2014 00:39,53.3462473,-6.258031286,935
09/01/2014 00:48,53.34615483,-6.25781366,935
09/01/2014 00:48,53.34606237,-6.257596034,935
09/01/2014 00:49,53.3459699,-6.257378407,390
09/01/2014 01:08,53.34587744,-6.257160781,390
09/01/2014 01:17,53.34578497,-6.256943154,390
09/01/2014 01:19,53.34569251,-6.256725528,390
09/01/2014 01:39,53.34560004,-6.256507902,136
09/01/2014 01:41,53.34550758,-6.256290275,136
09/01/2014 02:03,53.34541511,-6.256072649,136
09/01/2014 02:13,53.34532265,-6.255855022,136
09/01/2014 02:33,53.34523018,-6.255637396,146
09/01/2014 02:39,53.34513772,-6.25541977,146
09/01/2014 02:41,53.34504525,-6.255202143,146
09/01/2014 03:18,53.34495279,-6.254984517,146
09/01/2014 04:01,53.34486032,-6.25476689,139
09/01/2014 04:06,53.34476786,-6.254549264,139
09/01/2014 04:20,53.34467539,-6.254331638,139
09/01/2014 04:34,53.34458293,-6.254114011,139
09/01/2014 05:02,53.34449046,-6.253896385,218
09/01/2014 05:11,53.344398,-6.253678758,218
09/01/2014 05:12,53.34430553,-6.253461132,218
09/01/2014 05:16,53.34421307,-6.253243506,20
09/01/2014 05:25,53.3441206,-6.253025879,24
09/01/2014 05:29,53.34402814,-6.252808253,69
09/01/2014 05:45,53.34393567,-6.252590626,50
09/01/2014 05:55,53.34384321,-6.252373,24
09/01/2014 05:56,53.34375074,-6.252155374,26
09/01/2014 06:04,53.34365828,-6.251937747,23
09/01/2014 06:08,53.34356581,-6.251720121,29
09/01/2014 06:14,53.34347335,-6.251502494,7
09/01/2014 06:26,53.34338088,-6.251284868,15
09/01/2014 06:35,53.34328842,-6.251067242,8
09/01/2014 06:43,53.34319595,-6.250849615,33
09/01/2014 06:51,53.34310349,-6.250631989,23
09/01/2014 06:56,53.34301102,-6.250414362,18
09/01/2014 07:01,53.34291856,-6.250196736,8
09/01/2014 07:22,53.34282609,-6.24997911,10
09/01/2014 07:30,53.34273362,-6.249761483,16
09/01/2014 07:33,53.34264116,-6.249543857,8
09/01/2014 07:37,53.34254869,-6.24932623,16
09/01/2014 07:37,53.34245623,-6.249108604,6
09/01/2014 07:41,53.34236376,-6.248890978,7
09/01/2014 07:58,53.3422713,-6.248673351,4
